"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.,If possible  I need  a  few more days  for  my paper  .
"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.,I know the paper is due today but I'm not finished could I please have an extension.
"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.,I know the paper is due today but may I have more time to finish it please.
"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.,May I have an extension because I haven't finished the paper due today.
"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.,i am struggling with this paper  and  need more time
"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.,I was wondering if I could have an extension on that paper.
"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.,Is it possible to turn my paper in in a few days instead?
"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.,"I know the paper's due today, but I need a bit more time."
"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.,"Teacher, I've been working hard on my paper, but I need one more day  to include a new source I just got from the library. Can you give me until tomorrow to submit the final version please."
A teenager has  a driver's liscence but no car,They want to borrow your parents car tonight,I know I don't have a driver's license but I would like to borrow the car tonight.
A teenager has  a driver's liscence but no car,They want to borrow your parents car tonight,May I borrow the car tonight even though I don't have a license.
A teenager has  a driver's liscence but no car,They want to borrow your parents car tonight,May I borrow your car tonight even though I don't have a license.
A teenager has  a driver's liscence but no car,They want to borrow your parents car tonight,Hey Mom  can  I  use your  van  tonight 
A teenager has  a driver's liscence but no car,They want to borrow your parents car tonight,"Uh, lemme ask my parents."
A teenager has  a driver's liscence but no car,They want to borrow your parents car tonight,"Mom, Dad you know how responsible I am. I was hoping you'd let me have the car tonight so I can see a movie with Janet. "
"Someone bought a shirt, but when they tried it on it didn't fit",They want to return the shirt,The shirt I just bought doesn't fit and I'd like to return it.
"Someone bought a shirt, but when they tried it on it didn't fit",They want to return the shirt,I bought a shirt and it didn't fit so I would like to return it.
"Someone bought a shirt, but when they tried it on it didn't fit",They want to return the shirt,I need to bring this shirt .
"Someone bought a shirt, but when they tried it on it didn't fit",They want to return the shirt,I bought a shirt but it didn't fit. I would like to return it please.
"Someone bought a shirt, but when they tried it on it didn't fit",They want to return the shirt,I bought a shirt and it didn't fit so I would like to return it.
"Someone bought a shirt, but when they tried it on it didn't fit",They want to return the shirt,I need to return this shirt.
"Someone bought a shirt, but when they tried it on it didn't fit",They want to return the shirt,"Hi, My husband bought this shirt for me, but it doesn't fit me. Can I get a refund please?"
"Someone bought a shirt, but when they tried it on it didn't fit",They want to return the shirt,"I got this the other day, but it didn't fit me. Can I return it?"
"Someone has an allergy to gluten, and looking for a place to eat",You want the waiter to tell food options are available.,What food options do you have for someone who is allergic to gluten?
"Someone has an allergy to gluten, and looking for a place to eat",You want the waiter to tell food options are available.,Do you have any food options that are safe for people who are allergic to gluten?
"Someone has an allergy to gluten, and looking for a place to eat",You want the waiter to tell food options are available.,What food options are available for people allergic to gluten.
"Someone has an allergy to gluten, and looking for a place to eat",You want the waiter to tell food options are available.,Do you have any food options that are safe for people who are allergic to gluten?
"Someone has an allergy to gluten, and looking for a place to eat",You want the waiter to tell food options are available.,Can you tell me about your gluten-free options?
"Someone has an allergy to gluten, and looking for a place to eat",You want the waiter to tell food options are available.,"My friend is allergic to gluten, do you have anything she can eat?"
Someone is switching to a new phone company.,They want to know if they can keep their old phone number,Is there any way to transfer my old phone number over to my new service?
Someone is switching to a new phone company.,They want to know if they can keep their old phone number,Will I be able to keep my old number with my new service
